,Unnamed: 0,var,cat,value,value2,class
1,1,Sex,0,55400.4191932394,2.08551647082352,Male
2,2,Sex,1,53319.4479106346,-1.74905791036782,Female
3,3,Ethnicity,1,45896.802454499,-15.4266546867816,Black
4,4,Ethnicity,2,54723.4626025989,0.838098776332529,White
5,5,Ethnicity,3,57394.978721932,5.76086121700978,Asian
6,6,Ethnicity,4,52707.6723800288,-2.87636744909659,Mixed (UK only)
7,7,Ethnicity,6,49844.9616589873,-8.15144129726966,Other
8,8,Father_Occ,1,59644.4886004156,9.90599912562762,Large employers & higher management
9,9,Father_Occ,2,58365.0416145091,7.54838147118866,Higher professional
10,10,Father_Occ,3,57138.8020895213,5.28880840209911,Lower management & professional
11,11,Father_Occ,4,54373.7513762224,0.193691176531473,Intermediate
12,12,Father_Occ,5,52738.5038685653,-2.81955473040871,Small employers & own account
13,13,Father_Occ,6,52611.0218590926,-3.0544639055968,Lower supervisory & technical
14,14,Father_Occ,7,53208.9344579219,-1.95269938206509,Semi-Routine
15,15,Father_Occ,8,52052.6306961757,-4.08340287553999,Routine
16,16,Mother_Occ,1,60127.5139258401,10.7960626040727,Large employers & higher management
17,17,Mother_Occ,2,59360.8760490638,9.38339055688435,Higher professional
18,18,Mother_Occ,3,57496.3886613021,5.94772778203993,Lower management & professional
19,19,Mother_Occ,4,56045.2904912615,3.2738110807645,Intermediate
20,20,Mother_Occ,5,55973.0457479308,3.14068678238175,Small employers & own account
21,21,Mother_Occ,6,55446.3652697617,2.17018061271796,Lower supervisory & technical
22,22,Mother_Occ,7,51960.0099241695,-4.25407377449471,Semi-Routine
23,23,Mother_Occ,8,50875.8086209801,-6.25191515559276,Routine
24,24,Mother_Edu,1,51531.8882657505,-5.04296709422947,Primary [0-1]
25,25,Mother_Edu,2,54765.0952049415,0.914814544445264,Secondary lower [2]
26,26,Mother_Edu,3,58617.9771762663,8.01446201411301,Secondary upper [3-4]
27,27,Mother_Edu,4,60442.7340911918,11.3769140461837,Tertiary [5-8]
28,28,Father_Edu,1,53511.0038800167,-1.39608061611246,Primary [0-1]
29,29,Father_Edu,2,55245.8742704617,1.80073887365997,Secondary lower [2]
30,30,Father_Edu,3,55171.598157782,1.66387140163054,Secondary upper [3-4]
31,31,Father_Edu,4,57499.7774011152,5.9539721617584,Tertiary [5-8]
