"","var","cat","value","value2"
"1","Sex","0",54853.6168520865,2.77242913765282
"2","Sex","1",52258.3840770518,-2.08993713414978
"3","Ethnicity","1",50016.4177356113,-6.29043183582111
"4","Ethnicity","2",53204.2146701766,-0.317851478061471
"5","Ethnicity","3",59650.2037651836,11.7592000548401
"6","Ethnicity","4",58505.1060516843,9.61377227140638
"7","Ethnicity","6",53764.1156094635,0.731165576951241
"8","Father_Occ","1",59835.0470683089,12.1055180619689
"9","Father_Occ","2",56846.3996048874,6.50605940676016
"10","Father_Occ","3",56595.2287465054,6.03547167297201
"11","Father_Occ","4",52962.1151258628,-0.771443414019757
"12","Father_Occ","5",53408.6338732555,0.0651434686427876
"13","Father_Occ","6",51736.5950452714,-3.06754862762799
"14","Father_Occ","7",51709.0227464589,-3.11920742951729
"15","Father_Occ","8",51263.5628843349,-3.95381040997816
"16","Mother_Occ","1",59699.7007635934,11.8519364513354
"17","Mother_Occ","2",56919.6014641554,6.64320866557124
"18","Mother_Occ","3",55654.4964173082,4.27293800266507
"19","Mother_Occ","4",56807.7326341257,6.43361389194041
"20","Mother_Occ","5",55405.1102897079,3.80569409793175
"21","Mother_Occ","6",53852.39609969,0.896565799337736
"22","Mother_Occ","7",51487.4156329157,-3.53440523560596
"23","Mother_Occ","8",48911.5346918203,-8.36051437257699
"24","Mother_Edu","1",51339.1575227623,-3.81217809716422
"25","Mother_Edu","2",54010.5131040729,1.19281005014473
"26","Mother_Edu","3",55290.565680448,3.59108604811053
"27","Mother_Edu","4",57425.1781642544,7.59044512082039
"28","Father_Edu","1",52611.3855590297,-1.42856197105176
"29","Father_Edu","2",53427.493199268,0.100477852361408
"30","Father_Edu","3",53400.8708208706,0.0505987987210972
"31","Father_Edu","4",57619.0787739279,7.95373268162353
